date,ticker,price,volume
3/24/2025,ZAMN,203.26,41625.367
3/25/2025,ZAMN,205.71,31171.16
3/26/2025,ZAMN,201.13,32990.969
3/27/2025,ZAMN,201.36,27317.66
3/28/2025,ZAMN,192.72,52548.23
3/31/2025,ZAMN,190.26,63547.559
4/1/2025,ZAMN,192.17,41267.32
4/2/2025,ZAMN,196.01,53679.199
4/3/2025,ZAMN,178.41,95553.617
4/4/2025,ZAMN,171,123159.398
4/7/2025,ZAMN,175.26,109327.102
4/8/2025,ZAMN,170.66,87710.359
4/9/2025,ZAMN,191.1,116804.305
4/10/2025,ZAMN,181.22,68302.047
4/11/2025,ZAMN,184.87,50594.34
4/14/2025,ZAMN,182.12,48002.539
4/15/2025,ZAMN,179.59,43641.953
4/16/2025,ZAMN,174.33,51875.32
4/17/2025,ZAMN,172.61,44726.449
4/18/2025,ZAMN,172.61,0
4/21/2025,ZAMN,167.32,48126.113
4/22/2025,ZAMN,173.18,56607.199
4/23/2025,ZAMN,180.6,63470.152
4/24/2025,ZAMN,186.54,43763.199
4/25/2025,ZAMN,188.99,36414.328
4/28/2025,ZAMN,187.7,33224.73
4/29/2025,ZAMN,187.39,41667.262
4/30/2025,ZAMN,184.42,55176.539
5/1/2025,ZAMN,190.2,74265.961
5/2/2025,ZAMN,189.98,77903.484
5/5/2025,ZAMN,186.35,35217.473
5/6/2025,ZAMN,185.01,29314.061
5/7/2025,ZAMN,188.71,44002.93
5/8/2025,ZAMN,192.08,41043.621
5/9/2025,ZAMN,193.06,29663.141
5/12/2025,ZAMN,208.64,75205.039
5/13/2025,ZAMN,211.37,56193.68
5/14/2025,ZAMN,210.25,38492.129
5/15/2025,ZAMN,205.17,64347.32
5/16/2025,ZAMN,205.59,43318.48
5/19/2025,ZAMN,206.16,34314.809
5/20/2025,ZAMN,204.07,29470.369
5/21/2025,ZAMN,201.12,42460.922
5/22/2025,ZAMN,203.1,38938.879
5/23/2025,ZAMN,200.99,33393.551
5/26/2025,ZAMN,200.99,0
5/27/2025,ZAMN,206.02,34892.039
5/28/2025,ZAMN,204.72,28549.75
5/29/2025,ZAMN,205.7,34700.008
5/30/2025,ZAMN,205.01,51679.406
6/2/2025,ZAMN,206.65,29113.32
6/3/2025,ZAMN,205.71,33139.121
6/4/2025,ZAMN,207.23,29915.59
6/5/2025,ZAMN,207.91,51979.238
6/6/2025,ZAMN,213.57,39832.5
6/9/2025,ZAMN,216.98,38102.5
6/10/2025,ZAMN,217.61,31303.32
6/11/2025,ZAMN,213.2,39325.98
6/12/2025,ZAMN,213.24,27639.99
6/13/2025,ZAMN,212.1,29337.76
6/16/2025,ZAMN,216.1,33284.16
6/17/2025,ZAMN,214.82,32086.26
6/18/2025,ZAMN,212.52,44360.512
6/19/2025,ZAMN,212.52,0
6/20/2025,ZAMN,209.69,75350.727
6/23/2025,ZAMN,208.47,37311.727
6/24/2025,ZAMN,212.77,38378.762
6/25/2025,ZAMN,211.99,31755.699
6/26/2025,ZAMN,217.12,50480.809
6/27/2025,ZAMN,223.3,119217.102
6/30/2025,ZAMN,219.39,58887.781
7/1/2025,ZAMN,220.46,39256.832
7/2/2025,ZAMN,219.92,30894.18
7/3/2025,ZAMN,223.41,29632.35
7/4/2025,ZAMN,223.41,0
7/7/2025,ZAMN,223.47,36604.141
7/8/2025,ZAMN,219.36,45691.992
7/9/2025,ZAMN,222.54,38155.121
7/10/2025,ZAMN,222.26,30370.59
7/11/2025,ZAMN,225.02,50518.312
7/14/2025,ZAMN,225.69,35702.602
7/15/2025,ZAMN,226.35,34907.289
7/16/2025,ZAMN,223.19,39535.93
7/17/2025,ZAMN,223.88,31855.83
7/18/2025,ZAMN,226.13,37833.809
7/21/2025,ZAMN,229.3,40297.559
7/22/2025,ZAMN,227.47,37483.699
7/23/2025,ZAMN,228.29,28294.85
7/24/2025,ZAMN,232.23,42902.273
7/25/2025,ZAMN,231.44,28712.1
7/28/2025,ZAMN,232.79,26300.141
7/29/2025,ZAMN,231.01,33716.219
7/30/2025,ZAMN,230.19,32993.27
7/31/2025,ZAMN,234.11,104357.297
1/1/2025,APLA,250.42,0
1/2/2025,APLA,243.85,55740.727
1/3/2025,APLA,243.36,40244.113
1/6/2025,APLA,245,45045.566
